Opportunity No.,Reporting Status,Sales Outcome,Product,Industry,Region,Relative Strength in the segment,Profit of Customer in Million,Sales Value in Million,Profit %,WSES Proportion in Joint Bid,Leads Conversion Class
730,Won,1,GTMSys,Banks,Singapore,65,0.79,7.9,38,61,L
731,Won,1,GTMSys,Others,Africa,39,1.06,5.51,52,65,E
732,Lost,0,GTMSys,Banks,UK,61,1.71,10.71,60,53,E
733,Won,1,Lifesys,Capital Markets,UK,27,0.67,4.53,67,68,V
734,Lost,0,Finsys,Capital Markets,Other Europe,57,1.44,8.3,57,57,E
735,Lost,0,GTMSys,Capital Markets,Other Europe,41,1.88,7.43,67,45,E
736,Lost,0,Procsys,Infrastructure,UK,37,1.63,10.42,42,58,L
737,Lost,0,GTMSys,Defense,Japan,63,1.87,7.41,38,57,E
738,Won,1,LearnSys,Defense,UK,51,0.52,7.27,66,60,V
739,Won,1,GTMSys,Insurance,UK,58,0.48,9.15,37,58,V
740,Won,1,Lifesys,Capital Markets,UK,27,0.34,14.01,57,60,E
741,Lost,0,GTMSys,Banks,Africa,52,1.52,5.17,54,58,V
742,Lost,0,Finsys,Consumer goods,UK,54,1.71,5.16,62,53,V
743,Lost,0,GTMSys,Airline,UK,56,1.52,10.16,46,64,V
744,Won,1,GTMSys,Capital Markets,UK,48,1.11,7.35,42,56,V
745,Won,1,Procsys,Consumer goods,UK,53,0.82,10.36,47,75,L
746,Won,1,GTMSys,Others,Other Europe,69,0.09,3.2,58,54,L
747,Won,1,GTMSys,Finance,UK,55,1.28,5.27,28,64,V
748,Won,1,Procsys,Other Govt.,Japan,33,0.65,12.34,54,53,E
749,Won,1,GTMSys,Finance,UK,55,0.91,3.91,40,100,E
750,Lost,0,GTMSys,Capital Markets,Other Europe,41,1.31,9.45,65,55,L
751,Won,1,GTMSys,Others,Africa,39,0.86,6.1,46,50,L
752,Won,1,GTMSys,Defense,Africa,25,1.33,10.34,39,59,E
753,Won,1,ContactSys,Banks,UK,59,0.92,11.89,43,68,E
754,Won,1,LearnSys,Banks,Africa,45,1.39,6.77,31,50,V
755,Lost,0,GTMSys,Defense,Japan,63,1.03,8.22,70,49,E
756,Won,1,GTMSys,Banks,Africa,52,0.7,8.7,30,59,V
757,Won,1,Lifesys,Capital Markets,Other Europe,47,1.21,8.72,39,73,V
758,Lost,0,LearnSys,Energy,UK,42,1.96,6.61,54,47,E
759,Won,1,GTMSys,Banks,Americas,43,0.36,9.5,44,49,L
760,Lost,0,LearnSys,Banks,Africa,45,0.86,7.56,59,48,V
761,Lost,0,Procsys,Energy,UK,34,1.15,5.07,70,55,E
762,Won,1,Finsys,Capital Markets,Other Europe,57,0.55,12.23,46,66,V
763,Lost,0,GTMSys,Security,Singapore,73,1.03,12.59,67,59,V
764,Won,1,Procsys,Security,Americas,68,0.28,5.88,48,77,L
765,Lost,0,Procsys,Clinical research,UK,70,1.31,9.24,58,100,E
766,Won,1,Procsys,Security,India,44,0.66,9.18,39,58,E
767,Lost,0,Lifesys,Others,Other Europe,64,1.67,8.87,36,57,V
768,Lost,0,GTMSys,Banks,Americas,43,1.34,6.17,62,71,E
769,Won,1,Lifesys,Capital Markets,Other Europe,47,0.98,4.89,40,61,V
770,Lost,0,GTMSys,Finance,UK,55,1.21,8.3,51,76,V
771,Won,1,Lifesys,Consumer goods,UK,46,0.77,7.53,53,62,E
772,Lost,0,GTMSys,Others,Other Europe,69,0.58,10.5,72,68,L
773,Lost,0,Procsys,Mobility,Canada,29,1.67,9.33,61,74,L
774,Won,1,GTMSys,Others,Other Europe,69,0.78,4.07,39,56,V
775,Lost,0,Procsys,Mobility,Canada,29,1.64,7.35,49,56,E
776,Won,1,Finsys,Others,Other Europe,18,1.76,6.95,38,51,V
777,Won,1,Finsys,Insurance,UK,31,0.38,9.16,57,63,E
778,Won,1,LearnSys,Defense,UK,51,0.45,8.76,55,37,V
779,Lost,0,Finsys,Infrastructure,UK,62,1.74,8.1,60,63,V
780,Lost,0,Procsys,Security,India,44,1.96,9,49,63,L
781,Won,1,GTMSys,Others,UK,49,0.39,9.48,34,45,V
782,Won,1,GTMSys,Capital Markets,Other Europe,41,0.96,7.89,27,59,V
783,Won,1,GTMSys,Capital Markets,UK,48,0.4,6.74,56,56,V
784,Lost,0,Procsys,Security,India,44,1.26,8.37,65,63,E
785,Won,1,GTMSys,Finance,UK,55,0.37,6.78,45,70,E
786,Lost,0,Lifesys,Capital Markets,UK,27,1.62,7.94,55,55,V
787,Won,1,GTMSys,Defense,Other Europe,30,1.14,6.27,62,72,E
788,Lost,0,GTMSys,Capital Markets,Other Europe,41,1.07,11.02,58,57,V
789,Won,1,LearnSys,Energy,UK,42,0.62,5.14,44,63,V
790,Lost,0,GTMSys,Capital Markets,UK,48,1.28,9.12,49,54,V
791,Won,1,LearnSys,Energy,UK,42,0.29,6.77,45,51,E
792,Lost,0,Finsys,Consumer goods,UK,54,1.01,6.22,50,56,L
793,Won,1,GTMSys,Capital Markets,Other Europe,41,1.09,6.84,55,74,V
794,Won,1,LearnSys,Banks,Africa,45,0.74,8.2,31,66,V
795,Won,1,GTMSys,Banks,Africa,52,0.92,5.2,48,71,E
796,Lost,0,Finsys,Capital Markets,Other Europe,57,0.79,6.16,59,58,E
797,Lost,0,GTMSys,Others,UK,49,2.11,9.59,45,48,E
798,Won,1,GTMSys,Banks,Americas,43,-0.2,4.77,40,62,V
799,Won,1,GTMSys,Defense,Americas,50,1.25,6.62,37,64,L
800,Won,1,GTMSys,Agriculture,Other Europe,26,1.05,9.67,36,61,E
801,Won,1,GTMSys,Finance,UK,55,1.38,9.77,25,69,V
802,Won,1,GTMSys,Capital Markets,UK,48,-0.16,5.76,58,59,V
803,Won,1,GTMSys,Capital Markets,UK,48,1.17,8.74,46,56,V
804,Lost,0,GTMSys,Defense,Americas,50,1.05,5.68,48,52,E
805,Lost,0,GTMSys,Banks,Americas,43,1.13,10.09,57,64,V
806,Lost,0,GTMSys,Defense,Americas,50,1.02,7.43,51,56,L
807,Won,1,GTMSys,Others,Africa,39,1.12,10.98,42,59,L
808,Won,1,LearnSys,Capital Markets,UK,40,0.6,7.67,57,56,V
809,Lost,0,LearnSys,Capital Markets,UK,40,1.59,6.65,57,60,E
810,Won,1,LearnSys,Capital Markets,UK,40,0.27,6.06,59,47,E
811,Won,1,GTMSys,Capital Markets,UK,48,0.43,6.77,47,58,L
812,Lost,0,ContactSys,Banks,UK,59,1.31,8.12,45,36,E
813,Lost,0,GTMSys,Banks,Africa,52,1.38,9.15,43,63,E
814,Won,1,GTMSys,Banks,Americas,43,0.61,7.2,62,59,V
815,Won,1,Procsys,Security,Americas,68,0.68,10.36,31,65,V
816,Won,1,Finsys,Insurance,UK,31,0.46,6.14,57,65,V
817,Lost,0,GTMSys,Others,Other Europe,69,0.91,10.82,58,54,L
818,Won,1,GTMSys,Defense,Other Europe,30,1.37,10.41,50,100,V
819,Lost,0,Finsys,Capital Markets,Other Europe,57,0.9,8.22,55,61,L
820,Lost,0,Finsys,Infrastructure,UK,62,0.4,4.76,70,61,E
821,Won,1,Finsys,Insurance,UK,31,1.41,12.5,48,51,F
822,Lost,0,GTMSys,Telecom equipments,Spain,66,1.11,4.3,58,67,E
823,Won,1,GTMSys,Capital Markets,Other Europe,41,1.29,7.7,43,61,V
824,Won,1,GTMSys,Defense,Americas,50,0.3,3.87,53,53,V
825,Lost,0,LearnSys,Insurance,UK,74,1.22,8.3,50,66,E
826,Lost,0,GTMSys,Banks,Africa,52,2.31,5.93,39,54,V
827,Won,1,GTMSys,Banks,Singapore,65,0.23,10.99,59,61,V
828,Won,1,LearnSys,Energy,UK,42,1.2,9.13,46,69,V
829,Lost,0,Procsys,Consumer goods,UK,53,0.62,8.73,58,56,V
830,Lost,0,Logissys,Clinical research,UK,79,1.31,7.8,36,53,E
831,Won,1,Procsys,Consumer goods,UK,53,1,10.28,47,77,E
832,Lost,0,Finsys,Infrastructure,UK,62,0.78,8.07,56,66,V
833,Won,1,GTMSys,Defense,Americas,50,0.85,7.65,43,54,E
834,Won,1,LearnSys,Defense,UK,51,0.85,6.27,49,59,E
835,Lost,0,LearnSys,Energy,UK,42,0.75,9.05,63,47,V
836,Won,1,LearnSys,Energy,UK,42,0.83,7.64,43,56,V
837,Lost,0,Procsys,Security,India,44,1.33,6.9,60,51,E
838,Lost,0,GTMSys,Banks,Singapore,65,0.84,6.89,56,75,L
839,Won,1,GTMSys,Airline,UK,56,0.69,8.09,39,66,E
840,Won,1,GTMSys,Airline,UK,56,0.92,7.01,38,65,E
841,Lost,0,GTMSys,Capital Markets,Other Europe,41,1.58,9.32,51,52,E
842,Won,1,GTMSys,Capital Markets,Other Europe,41,0.81,8.5,34,50,E
843,Lost,0,GTMSys,Banks,Americas,43,1.31,4.98,45,47,E
844,Won,1,Lifesys,Capital Markets,UK,27,1.44,6.78,40,77,V
845,Lost,0,Lifesys,Capital Markets,Other Europe,47,0.93,8.14,68,56,L
846,Won,1,GTMSys,Banks,Americas,43,0.58,9.8,59,65,E
847,Won,1,GTMSys,Others,Africa,39,0.43,7.32,56,73,V
848,Lost,0,Lifesys,Others,Other Europe,64,0.31,7.58,63,68,V
849,Lost,0,GTMSys,Insurance,UK,58,1.54,6.44,58,65,V
850,Won,1,Procsys,Infrastructure,UK,37,0.58,9.83,48,57,E
851,Lost,0,Lifesys,Capital Markets,UK,27,1.92,7.42,63,41,V
852,Lost,0,GTMSys,Airline,UK,56,1.09,7.14,54,58,L
853,Won,1,ContactSys,Banks,UK,59,0.38,9.04,48,52,L
854,Lost,0,Lifesys,Capital Markets,Other Europe,47,1.64,4.78,54,64,V
855,Won,1,Finsys,Capital Markets,Other Europe,57,0.47,4.55,44,60,E
856,Lost,0,Procsys,Consumer goods,UK,53,1.17,4.31,49,60,E
857,Won,1,GTMSys,Defense,Americas,50,0.83,8.79,43,59,L
858,Won,1,GTMSys,Capital Markets,UK,48,0.45,5.89,56,51,E
859,Lost,0,GTMSys,Capital Markets,Other Europe,41,1.49,8.41,47,71,E
860,Lost,0,GTMSys,Banks,Singapore,65,1.84,8.83,65,51,V
861,Lost,0,Lifesys,Consumer goods,UK,46,1.46,13.15,47,61,V
862,Won,1,Finsys,Capital Markets,Other Europe,57,0.26,10.56,57,73,V
863,Lost,0,Procsys,Consumer goods,UK,53,0.72,10.31,61,48,L
864,Won,1,GTMSys,Security,UK,32,0.8,8.21,60,47,V
865,Lost,0,LearnSys,Energy,UK,42,1.74,5.79,37,51,L
866,Won,1,Procsys,Energy,UK,34,-0.56,7.68,38,77,E
867,Won,1,GTMSys,Banks,Americas,43,1.22,6.65,47,64,V
868,Lost,0,GTMSys,Security,Singapore,73,0.52,5.1,51,57,E
869,Won,1,GTMSys,Capital Markets,Other Europe,41,0.54,5.73,40,75,F
870,Won,1,Procsys,Energy,UK,34,0.19,7.71,33,79,F
871,Lost,0,GTMSys,Others,UK,49,1.79,7.1,66,42,E
872,Lost,0,Procsys,Security,India,44,1.22,7.79,56,61,V
873,Won,1,Procsys,Consumer goods,UK,53,0.97,6.79,46,59,V
874,Lost,0,Finsys,Capital Markets,UK,60,1.57,8.77,46,68,V
875,Lost,0,GTMSys,Others,Africa,39,2.11,8.13,61,73,V
876,Won,1,LearnSys,Banks,Africa,45,0.81,6.75,60,66,E
877,Lost,0,GTMSys,Insurance,UK,58,1.72,10.49,55,47,V
878,Won,1,Logissys,Mobility,UK,35,0.59,7.17,58,54,L
879,Won,1,Logissys,Mobility,UK,35,0.66,7.09,65,40,V
880,Won,1,Lifesys,Consumer goods,UK,46,0.95,10.73,36,62,V
881,Lost,0,GTMSys,Defense,Americas,50,0.97,5.94,56,49,V
882,Won,1,Procsys,Security,India,44,0.98,10.68,50,67,E
883,Won,1,GTMSys,Others,Americas,38,0.37,8.24,56,68,L
884,Won,1,LearnSys,Capital Markets,UK,40,0.47,11.38,34,49,E
885,Lost,0,GTMSys,Airline,UK,56,1.44,9.03,61,49,E
886,Won,1,Procsys,Other Govt.,Japan,33,0.53,8.93,41,37,L
887,Won,1,GTMSys,Banks,Africa,52,0.64,6.56,51,54,E
888,Won,1,Finsys,Capital Markets,Other Europe,57,0.14,6.91,44,50,E
889,Lost,0,GTMSys,Telecom equipments,Spain,66,1.84,6.62,51,63,V
890,Lost,0,LearnSys,Capital Markets,UK,40,1.39,9.84,53,26,L
891,Won,1,GTMSys,Finance,UK,55,0.71,6.74,54,60,E
892,Won,1,LearnSys,Energy,UK,42,1.05,6.96,47,61,V
893,Won,1,GTMSys,Others,Africa,39,0.79,6.51,52,66,V
894,Lost,0,LearnSys,Banks,Africa,45,1.22,10.29,60,57,V
895,Lost,0,LearnSys,Defense,UK,51,1.02,12.74,67,58,E
896,Won,1,Procsys,Consumer goods,UK,53,0.78,7.84,35,75,V
897,Won,1,Lifesys,Consumer goods,UK,46,1.22,12.65,34,70,L
898,Lost,0,Finsys,Capital Markets,Other Europe,57,1.46,6.47,50,45,L
899,Won,1,GTMSys,Banks,Americas,43,-0.05,9.86,51,49,V
900,Won,1,LearnSys,Defense,UK,51,0.78,8.52,48,71,E
901,Won,1,GTMSys,Security,UK,32,0.51,6.96,74,61,E
902,Won,1,GTMSys,Banks,Singapore,65,0.51,10.38,50,67,L
903,Lost,0,Lifesys,Capital Markets,Other Europe,47,1.2,2.38,54,58,E
904,Lost,0,Procsys,Security,India,44,0.61,11.16,69,39,E
905,Lost,0,Finsys,Capital Markets,Other Europe,57,1.88,5.7,56,72,V
906,Lost,0,Logissys,Govt.,UK,36,1.77,10.41,46,68,V
907,Won,1,Finsys,Capital Markets,Other Europe,57,0.82,6.04,51,59,V
908,Won,1,GTMSys,Banks,Americas,43,0.79,10.42,50,55,L
909,Lost,0,Finsys,Capital Markets,Other Europe,57,1.37,7.91,42,56,V
910,Won,1,LearnSys,Energy,UK,42,0.52,8.9,61,67,L
911,Lost,0,Lifesys,Capital Markets,Other Europe,47,1.26,5.89,54,56,E
912,Lost,0,GTMSys,Insurance,UK,58,1.22,7.97,57,100,V
913,Lost,0,GTMSys,Others,Other Europe,69,1.03,8.48,56,51,E
914,Lost,0,Procsys,Energy,UK,34,1.67,6.27,45,58,V
915,Lost,0,GTMSys,Capital Markets,UK,48,1.39,6.77,56,39,V
916,Lost,0,Finsys,Consumer goods,UK,54,1.74,8.49,54,55,E
917,Lost,0,Procsys,Consumer goods,UK,53,0.98,9.56,62,62,V
918,Lost,0,ContactSys,Banks,UK,59,1.22,8.05,77,51,V
919,Won,1,Finsys,Capital Markets,Other Europe,57,0.48,6.9,50,58,V
920,Won,1,Finsys,Capital Markets,Other Europe,57,0.9,8.07,39,51,V
921,Won,1,LearnSys,Capital Markets,UK,40,0.69,5.51,50,55,E
922,Lost,0,GTMSys,Defense,Americas,50,1.33,8.4,43,50,V
923,Won,1,LearnSys,Defense,UK,51,0.8,10.45,41,79,E
924,Lost,0,GTMSys,Telecom equipments,Spain,66,0.52,7.27,65,47,V
925,Lost,0,Lifesys,Consumer goods,UK,46,1.92,8.05,60,61,V
926,Won,1,Finsys,Capital Markets,Other Europe,57,0.58,7.69,34,46,V
927,Won,1,Lifesys,Others,Other Europe,64,0.05,10.2,53,60,E
928,Lost,0,Procsys,Security,India,44,1.4,5.32,52,54,L
929,Won,1,LearnSys,Defense,UK,51,0.43,10.04,37,74,E
930,Lost,0,GTMSys,Banks,Americas,43,1.2,5.98,53,62,E
931,Lost,0,LearnSys,Clinical research,UK,78,1.65,8.14,50,43,E
932,Lost,0,GTMSys,Defense,Americas,50,1.29,7.39,52,54,E
933,Won,1,LearnSys,Defense,UK,51,1.06,6.76,43,64,E
934,Lost,0,Finsys,Capital Markets,UK,60,1.22,7.22,43,57,V
935,Won,1,GTMSys,Others,Americas,38,0.4,7.61,60,44,L
936,Lost,0,GTMSys,Defense,Americas,50,1.22,9.3,61,66,E
937,Won,1,Procsys,Consumer goods,UK,53,0.06,10.91,49,66,V
938,Lost,0,GTMSys,Airline,UK,56,2.31,11.07,55,62,V
939,Won,1,GTMSys,Banks,Americas,43,0.61,7.88,62,48,V
940,Won,1,GTMSys,Others,UK,49,0.37,6.64,49,52,E
941,Lost,0,GTMSys,Banks,Americas,43,1.2,6.05,64,60,V
942,Won,1,Lifesys,Consumer goods,UK,46,1.07,9.05,47,54,L
943,Won,1,GTMSys,Others,Americas,38,1.2,11.6,47,72,L
944,Won,1,Lifesys,Capital Markets,Other Europe,47,0.58,10.25,47,69,V
945,Lost,0,Finsys,Infrastructure,UK,62,1.27,5.38,48,55,E
946,Won,1,Procsys,Security,India,44,1.06,10.47,46,59,E
947,Lost,0,Procsys,Consumer goods,UK,53,1.58,7.57,67,71,L
948,Lost,0,GTMSys,Banks,Singapore,65,0.38,8.17,59,59,E
949,Won,1,Lifesys,Capital Markets,Other Europe,47,0.24,9.27,51,59,E
950,Lost,0,GTMSys,Defense,Americas,50,0.8,8.8,56,59,V
951,Won,1,Lifesys,Consumer goods,UK,46,0.76,7.55,53,68,V
952,Won,1,GTMSys,Others,Americas,38,1.26,6.75,26,69,V
953,Lost,0,GTMSys,Banks,UK,61,1.38,12.35,50,55,L
954,Lost,0,GTMSys,Finance,UK,55,0.76,9.07,64,59,V
955,Lost,0,GTMSys,Banks,UK,61,1.5,11.13,63,75,L
956,Lost,0,Lifesys,Others,Other Europe,64,0.86,6.58,59,57,E
957,Lost,0,GTMSys,Capital Markets,UK,48,0.77,9.15,56,42,V
958,Lost,0,GTMSys,Telecom equipments,Spain,66,1.38,8.98,62,68,E
959,Lost,0,LearnSys,Banks,Africa,45,1.18,6.41,50,57,V
960,Lost,0,Procsys,Energy,UK,34,2.31,7.17,57,58,V
961,Lost,0,LearnSys,Defense,UK,51,2.11,10.58,56,67,E
962,Won,1,Procsys,Mobility,Canada,29,0.23,6.87,45,61,V
963,Lost,0,Finsys,Capital Markets,UK,60,0.94,8.02,61,64,V
964,Won,1,Procsys,Energy,UK,34,0.1,9.19,67,61,V
965,Lost,0,GTMSys,Banks,Africa,52,1.52,5.6,56,62,V
966,Lost,0,Finsys,Infrastructure,UK,62,1.24,8.79,62,64,V
967,Lost,0,ContactSys,Banks,UK,59,1.08,10.44,50,59,E
968,Won,1,GTMSys,Capital Markets,Other Europe,41,0.98,6.44,55,61,E
969,Lost,0,GTMSys,Health,UK,67,1.33,9.75,53,64,F
970,Lost,0,Finsys,Consumer goods,UK,54,0.97,12.57,50,66,L
971,Won,1,LearnSys,Defense,UK,51,-0.05,8.29,42,63,E
972,Won,1,GTMSys,Banks,Africa,52,0.51,9,53,64,E
973,Won,1,ContactSys,Banks,UK,59,1.17,6.69,39,66,E
974,Won,1,Procsys,Energy,UK,34,0.95,8.82,66,70,V
975,Won,1,GTMSys,Banks,UK,61,0.98,9.49,36,62,F
976,Won,1,GTMSys,Others,Americas,38,0.63,3.74,49,63,V
977,Lost,0,GTMSys,Insurance,UK,58,1.6,6.87,48,65,E
978,Lost,0,GTMSys,Banks,Africa,52,1.92,10.75,59,60,L
979,Won,1,LearnSys,Defense,UK,51,0.31,10.98,44,58,E
980,Lost,0,Logissys,Clinical research,UK,79,1.19,5.05,51,79,E
981,Lost,0,Finsys,Consumer goods,UK,54,0.84,7.8,55,63,E
982,Won,1,Procsys,Security,India,44,0.92,3.75,48,59,E
983,Lost,0,GTMSys,Banks,Singapore,65,2.31,10.44,56,44,E
984,Lost,0,Lifesys,Others,Other Europe,64,1.43,10.93,45,48,V
985,Lost,0,Lifesys,Others,Other Europe,64,1.55,8.49,37,38,L
986,Won,1,GTMSys,Defense,Americas,50,0.43,7.67,51,53,E
987,Lost,0,GTMSys,Airline,UK,56,1.19,7.7,66,73,V
988,Won,1,GTMSys,Finance,UK,55,0.2,10.63,60,65,V
989,Lost,0,GTMSys,Defense,Americas,50,0.99,8.49,61,45,V
990,Won,1,Procsys,Consumer goods,UK,53,1.46,6.74,28,67,E
991,Lost,0,Procsys,Security,India,44,2.31,4.61,51,63,V
992,Lost,0,Finsys,Consumer goods,UK,54,0.98,7.28,57,72,L
993,Lost,0,GTMSys,Capital Markets,Other Europe,41,1.42,9.2,54,53,L
994,Lost,0,Lifesys,Others,Other Europe,64,1.09,6.16,43,54,V
995,Lost,0,Procsys,Security,India,44,1.03,6.61,70,60,E
996,Won,1,Lifesys,Consumer goods,UK,46,0.71,3.97,42,72,E
997,Lost,0,GTMSys,Health,UK,67,1.43,9.31,33,65,L
998,Lost,0,LearnSys,Energy,UK,42,1.75,8.18,58,68,E
999,Won,1,GTMSys,Security,UK,32,0.3,9.78,56,55,E
1000,Won,1,LearnSys,Banks,Africa,45,0.63,5.97,62,45,V
